,Area outside Territorial Authority,Ashburton District,Auckland,Buller District,Carterton District,Central Hawke's Bay District,Central Otago District,Christchurch City,Clutha District,Dunedin City,Far North District,Gisborne District,Gore District,Grey District,Hamilton City,Hastings District,Hauraki District,Horowhenua District,Hurunui District,Invercargill City,Kaikoura District,Kaipara District,Kawerau District,Kapiti Coast District,Lower Hutt City,Mackenzie District,Manawatu District,Marlborough District,Masterton District,Matamata-Piako District,Napier City,Nelson City,New Plymouth District,Opotiki District,Otorohanga District,Palmerston North City,Porirua City,Queenstown-Lakes District,Rangitikei District,Rotorua District,Ruapehu District,Selwyn District,South Taranaki District,South Waikato District,South Wairarapa District,Southland District,Stratford District,Tararua District,Tasman District,Taupo District,Tauranga City,Thames-Coromandel District,Timaru District,Upper Hutt City,Waikato District,Waimakariri District,Waimate District,Waipa District,Wairoa District,Waitaki District,Waitomo District,Wellington City,Western Bay of Plenty District,Westland District,Whakatane District,Whanganui District,Whangarei District
total_ece_pop,1.0,1322.0,61010.0,358.0,404.0,611.0,999.0,13977.0,673.0,4668.0,2676.0,1882.0,474.0,502.0,6498.0,3297.0,810.0,1325.0,489.0,2067.0,145.0,831.0,279.0,2060.0,4028.0,210.0,1424.0,1866.0,1051.0,1385.0,2341.0,2534.0,3148.0,376.0,540.0,3039.0,2204.0,1698.0,587.0,2761.0,467.0,2814.0,1054.0,917.0,420.0,1120.0,363.0,595.0,1498.0,1411.0,5676.0,1190.0,1729.0,1708.0,2964.0,2415.0,294.0,1990.0,316.0,859.0,345.0,7629.0,2142.0,312.0,1376.0,1723.0,3566.0
total_ece_places,0.0,1191.0,79144.0,272.0,280.0,749.0,800.0,14957.0,603.0,4447.0,3693.0,2530.0,411.0,442.0,10052.0,4929.0,787.0,1167.0,528.0,2539.0,132.0,552.0,315.0,1776.0,4481.0,174.0,1196.0,1567.0,1001.0,1403.0,2829.0,2326.0,3173.0,544.0,624.0,4200.0,2425.0,1805.0,604.0,3923.0,626.0,3267.0,1182.0,1099.0,365.0,750.0,494.0,557.0,1117.0,1352.0,7877.0,948.0,1533.0,1691.0,3438.0,2508.0,150.0,2352.0,539.0,656.0,412.0,6855.0,1549.0,183.0,2131.0,2723.0,3942.0
overall_ece_demand,-1.0,1.11,0.77,1.32,1.44,0.82,1.25,0.93,1.12,1.05,0.72,0.74,1.15,1.14,0.65,0.67,1.03,1.14,0.93,0.81,1.1,1.51,0.89,1.16,0.9,1.21,1.19,1.19,1.05,0.99,0.83,1.09,0.99,0.69,0.87,0.72,0.91,0.94,0.97,0.7,0.75,0.86,0.89,0.83,1.15,1.49,0.74,1.07,1.34,1.04,0.72,1.26,1.13,1.01,0.86,0.96,1.96,0.85,0.59,1.31,0.84,1.11,1.38,1.71,0.65,0.63,0.9
total_locales,220.0,52.0,420.0,42.0,25.0,26.0,80.0,128.0,114.0,129.0,218.0,65.0,31.0,33.0,45.0,65.0,24.0,17.0,52.0,60.0,15.0,45.0,1.0,21.0,41.0,24.0,30.0,234.0,35.0,26.0,20.0,37.0,81.0,20.0,29.0,17.0,22.0,65.0,22.0,60.0,40.0,34.0,45.0,11.0,26.0,414.0,26.0,20.0,102.0,48.0,26.0,131.0,59.0,27.0,68.0,28.0,18.0,14.0,19.0,97.0,20.0,57.0,35.0,33.0,36.0,29.0,140.0
over_demand_locales,1.0,40.0,167.0,38.0,23.0,20.0,72.0,84.0,105.0,104.0,60.0,42.0,29.0,27.0,17.0,42.0,20.0,14.0,45.0,39.0,13.0,34.0,0.0,13.0,23.0,19.0,24.0,131.0,32.0,20.0,11.0,21.0,52.0,7.0,17.0,11.0,10.0,41.0,16.0,30.0,33.0,25.0,34.0,8.0,23.0,190.0,24.0,16.0,77.0,34.0,9.0,48.0,48.0,21.0,43.0,21.0,17.0,10.0,8.0,87.0,16.0,42.0,21.0,29.0,18.0,18.0,45.0
near_demand_locales,0.0,2.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0
under_demand_locales,0.0,10.0,109.0,1.0,2.0,6.0,6.0,33.0,6.0,19.0,30.0,17.0,1.0,4.0,24.0,21.0,4.0,2.0,6.0,12.0,2.0,3.0,1.0,4.0,14.0,2.0,6.0,4.0,3.0,5.0,7.0,8.0,18.0,7.0,6.0,6.0,9.0,9.0,4.0,17.0,6.0,8.0,9.0,3.0,2.0,12.0,2.0,3.0,7.0,7.0,10.0,6.0,9.0,5.0,17.0,7.0,1.0,3.0,4.0,5.0,4.0,14.0,6.0,1.0,13.0,10.0,19.0
no_population_locales,219.0,0.0,130.0,3.0,0.0,0.0,2.0,5.0,3.0,4.0,126.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,4.0,3.0,3.0,0.0,97.0,0.0,0.0,2.0,6.0,9.0,5.0,5.0,0.0,2.0,15.0,1.0,9.0,1.0,1.0,1.0,0.0,1.0,211.0,0.0,0.0,17.0,5.0,4.0,75.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,7.0,3.0,4.0,0.0,73.0
total_services,0.0,28.0,1448.0,5.0,8.0,20.0,19.0,293.0,15.0,95.0,104.0,65.0,9.0,9.0,180.0,116.0,22.0,29.0,15.0,54.0,4.0,14.0,9.0,39.0,100.0,5.0,25.0,37.0,26.0,31.0,62.0,53.0,65.0,15.0,16.0,76.0,49.0,31.0,18.0,94.0,18.0,54.0,32.0,29.0,10.0,20.0,11.0,16.0,31.0,35.0,151.0,28.0,36.0,36.0,75.0,46.0,4.0,48.0,21.0,16.0,12.0,160.0,42.0,5.0,54.0,61.0,94.0
lat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
